,title,contents,url,date,host,uid,leng title,leng contents,token title,token contents,top 1 words contents,top 2 words contents,top 3 words contents
0,un extraditable fue liberado en 2019 en un operativo realizado en el aeródromo la cruceña,fueron capturados 13 hombres entre ellos el extraditable rolin gonzalo parada gutiérrez el resto de los aprehendidos quedaron libres porque la felcn no presentó pruebas también devolvieron las avionetas  se capturó a 14 hombres entre ellos un extraditable solicitado por brasil por delito de tráfico internacional de drogas por esa razón los 13 capturados fueron liberados y las avionetas que habían sido precintadas se devolvieron  de la misma forma todos salieron libres por órdenes del entonces jefe nacional de la felcn maximiliano dávila pérez hoy preso en la cárcel de san pedro de la paz traficantes liberados  general de la felcn coronel edwin pérez mendieta y participaron la jefatura departamental de felcn de santa cruz los grupos gisuqoriente giaeforiente y umoparoriente sin pruebas tras el operativo e informó que el resultado fue negativo es decir que no hallaron restos de droga las naves fueron devueltas a sus propietarios el extraditable en el grupo mientras se completaban los trámites para hacer efectiva la extradición quién es rolín gonzalo parada el reporte señalaba que esta persona era buscada desde 2013 en brasil en junio de 2013 rolín gonzalo estuvo en campo grande mato grosso do sul brasil para actividades de la organización habiéndose encontrado con sus amigos iván fernández carvalho y adalto martins ferreira cayó preso y salió libre  la exautoridad informó que rolín gonzalo paradaalias de ‘federi’ fue capturado cuando caminaba por la zona de equipetrol él pesaba una notificación roja de interpol de brasil acusado por tráfico internacional de drogas y asociación criminal  por daño calificado asociación delictuosa amenazas coacción allanamiento y robo agravado en la propiedad ‘la colita’ agentes de la felcn que pidieron anonimato se preguntaron ¿qué hacía en el aeródromo el extraditable   fiscalía abrió investigación  del extraditable rolín gonzalo parada en este aeródromo sus vínculos con los 13 hombres que fueron capturados en el lugar entre ellos figuraban rolín gonzalo parada gutiérrez pedro montenegro paz tres avionetas aterrizan en el aeródromo le cambiaron de nombre y se observa alto tráfico según registros de la dirección general de aeronáutica civil dgac el aeródromo ubicado  se llamaba aeródromo mundaka pero cambió de nombre y ahora se llama aeroparque la cruceña  realizan investigaciones en torno a un megaoperativo realizado en julio de 2019 se capturó a 14 hombres entre ellos un extraditable solicitado por brasil por delito de tráfico internacional de drogas por esa razón los 13 capturados fueron liberados y las avionetas que habían sido precintadas se devolvieron  de la misma forma todos salieron libres por órdenes del entonces jefe nacional de la felcn maximiliano dávila pérez hoy preso en la cárcel de san pedro de la paz traficantes liberados  general de la felcn coronel edwin pérez mendieta y participaron la jefatura departamental de felcn de santa cruz los grupos gisuqoriente giaeforiente y umoparoriente sin pruebas tras el operativo e informó que el resultado fue negativo es decir que no hallaron restos de droga las naves fueron devueltas a sus propietarios el extraditable en el grupo mientras se completaban los trámites para hacer efectiva la extradición quién es rolín gonzalo parada el reporte señalaba que esta persona era buscada desde 2013 en brasil en junio de 2013 rolín gonzalo estuvo en campo grande mato grosso do sul brasil para actividades de la organización habiéndose encontrado con sus amigos iván fernández carvalho y adalto martins ferreira cayó preso y salió libre  la exautoridad informó que rolín gonzalo paradaalias de ‘federi’ fue capturado cuando caminaba por la zona de equipetrol él pesaba una notificación roja de interpol de brasil acusado por tráfico internacional de drogas y asociación criminal  por daño calificado asociación delictuosa amenazas coacción allanamiento y robo agravado en la propiedad ‘la colita’ agentes de la felcn que pidieron anonimato se preguntaron ¿qué hacía en el aeródromo el extraditable   fiscalía abrió investigación  del extraditable rolín gonzalo parada en este aeródromo sus vínculos con los 13 hombres que fueron capturados en el lugar entre ellos figuraban rolín gonzalo parada gutiérrez pedro montenegro paz tres avionetas aterrizan en el aeródromo le cambiaron de nombre y se observa alto tráfico según registros de la dirección general de aeronáutica civil dgac el aeródromo ubicado  se llamaba aeródromo mundaka pero cambió de nombre y ahora se llama aeroparque la cruceña  realizan investigaciones en torno a un megaoperativo realizado en julio de 2019  asimismo en una audiencia se hizo conocer al juzgador que al menos 10 avionetas precintadas durante el operativo con sospechas de haber sido usadas para el transporte de cocaína de alta pureza fueron sometidas al aspirado pero tras una pericia realizada por especialistas químicos s según romero era buscado para su extradición a brasil por ser considerado un capo narcotraficante dijo que se lo capturó gracias a a investigaciones desarrolladas por el centro regional de inteligencia antinarcóticos cerian señaló que era parte de una célula criminal y que sobre   cerca de cotoca opera desde 2014 el aeroparque cuenta con varios hangares a lo largo de la pista de tierra de 580 metros de largo por 18 de ancho autorizado por la dgac con el registro 023 en el ingreso al aeródromo un letrero informa de que todas las operaciones tienen el control de la felcn y de la dgac además del aeropuerto de el trompillo y de viru viru policías de la felcn afirman que este aeródromo presenta un alto tráfico aéreo desde sus inicios el deber evidenció que en menos de una hora aterrizaron tres avionetas en la pista de este aeródromo luego en tierra las naves fueron escoltadas hasta sus hangares por civiles de pantalones cortos en sus motocicletas el director nacional de la felcn coronel josé maría velasco informó que se   aseguró que en esta gestión no se permitirá actos irregulares pero que ese aeródromo está bajo control asimismo en una audiencia se hizo conocer al juzgador que al menos 10 avionetas precintadas durante el operativo con sospechas de haber sido usadas para el transporte de cocaína de alta pureza fueron sometidas al aspirado pero tras una pericia realizada por especialistas químicos s según romero era buscado para su extradición a brasil por ser considerado un capo narcotraficante dijo que se lo capturó gracias a a investigaciones desarrolladas por el centro regional de inteligencia antinarcóticos cerian señaló que era parte de una célula criminal y que sobre   cerca de cotoca opera desde 2014 el aeroparque cuenta con varios hangares a lo largo de la pista de tierra de 580 metros de largo por 18 de ancho autorizado por la dgac con el registro 023 en el ingreso al aeródromo un letrero informa de que todas las operaciones tienen el control de la felcn y de la dgac además del aeropuerto de el trompillo y de viru viru policías de la felcn afirman que este aeródromo presenta un alto tráfico aéreo desde sus inicios el deber evidenció que en menos de una hora aterrizaron tres avionetas en la pista de este aeródromo luego en tierra las naves fueron escoltadas hasta sus hangares por civiles de pantalones cortos en sus motocicletas el director nacional de la felcn coronel josé maría velasco informó que se   aseguró que en esta gestión no se permitirá actos irregulares pero que ese aeródromo está bajo control,https://eldeber.com.bo/pais/un-extraditable-fue-liberado-en-2019-en-un-operativo-realizado-en-el-aerodromo-la-crucena_272401,28/3/2022,eldeber.com.bo,d2f108fa076d5f3e80c52302f8bbccaa,89,7448,7,708,"('aeródromo', 18)","('felcn', 15)","('fueron', 11)"
1,andrónico confía en la “solidez” de los argumentos bolivianos en el juicio por el silala, el titular del senado informó que el presidente de la cámara baja acompañará a la comitiva a la haya el 1 de abril se inician los alegatos orales en el proceso iniciado por chile  los argumentos bolivianos en el litigio por las aguas del silala ante la corte internacional de justicia si el afluente fue canalizado de forma artificial o se trata de un río de curso internacional nosotros estamos seguros que los orígenes de las aguas son manantiales el presidente de la cámara baja freddy mamani acompañará la comitiva oficial las declaraciones la asamblea legislativa no puede estar al margen de este proceso el canciller rogelio mayta encabezará la delegación los argumentos bolivianos en el litigio por las aguas del silala ante la corte internacional de justicia si el afluente fue canalizado de forma artificial o se trata de un río de curso internacional nosotros estamos seguros que los orígenes de las aguas son manantiales el presidente de la cámara baja freddy mamani acompañará la comitiva oficial las declaraciones la asamblea legislativa no puede estar al margen de este proceso el canciller rogelio mayta encabezará la delegación ,https://eldeber.com.bo/pais/andronico-confia-en-la-solidez-de-los-argumentos-bolivianos-en-el-juicio-por-el-silala_272488,28/3/2022,eldeber.com.bo,bba8c76c9a34b144219e48d9caaf58e9,88,1145,7,101,"('aguas', 4)","('internacional', 4)","('presidente', 3)"
2,arias pide juicio de responsabilidades para áñez y lamenta que se siga alimentando la confrontación,el proceso se reanudará el 4 de abril tras varios incidentes en su instalación el alcalde de la paz dice que la expresidenta evitó la confrontación  exigió este lunes juicio de responsabilidades para la expresidenta jeanine áñez y lamentó que se siga alimentando el odio ella merece un juicio de responsabilidades y no un juicio ordinario yo creo que deberíamos acabar esta cosa debería llevársela a un juicio de responsabilidades  ñez militares y policías son acusados por los delitos de incumplimiento de deberes y resoluciones contrarias a la constitución ella evitó que hubiera una conflagración y deberíamos estar agradecidos exigió este lunes juicio de responsabilidades para la expresidenta jeanine áñez y lamentó que se siga alimentando el odio ella merece un juicio de responsabilidades y no un juicio ordinario yo creo que deberíamos acabar esta cosa debería llevársela a un juicio de responsabilidades  ñez militares y policías son acusados por los delitos de incumplimiento de deberes y resoluciones contrarias a la constitución ella evitó que hubiera una conflagración y deberíamos estar agradecidos         ,https://eldeber.com.bo/pais/arias-pide-juicio-de-responsabilidades-para-anez-y-lamenta-que-se-siga-alimentando-la-confrontacion_272487,28/3/2022,eldeber.com.bo,a9c9aca11bb857aacbe2a8cd2753e977,99,1121,9,99,"('juicio', 8)","('responsabilidades', 6)","('ella', 4)"
3,concejala terrazas “la anulación del segundo contrato de aseo urbano ha sido un gol a la corrupción”, la concejala de comunidad autonómica dijo que existe un daño económico menor al municipio considera que los funcionarios involucrados deben ser procesados conozca en detalle sus observaciones   la anulación del segundo contrato del servicio de aseo urbano ha sido “un gol a la corrupción”  el viernes de la anterior semana el alcalde jhonny fernández anuló la licitación para la adjudicación del servicio de aseo urbano “no están administrando su casa sino los recursos de más de un millón de ciudadanos” violación del decreto supremo 181  ley municipal de aseo urbano no modificación de la metodología de selección transferencia de residuos sólidos    la anulación del segundo contrato del servicio de aseo urbano ha sido “un gol a la corrupción”  el viernes de la anterior semana el alcalde jhonny fernández anuló la licitación para la adjudicación del servicio de aseo urbano “no están administrando su casa sino los recursos de más de un millón de ciudadanos” violación del decreto supremo 181  ley municipal de aseo urbano no modificación de la metodología de selección transferencia de residuos sólidos    “los funcionarios que han hecho estos procesos deben responderle al pueblo y a las leyes por la mentira y por el engaño que le estaban queriendo hacer a santa cruz” aseveró terrazas que espera que el tercer contrato no caiga en la vulneración de la norma en la parcialización de una empresa y que los profesionales actúen con pulcritud y profesionalidad porque  en la anterior licitación la metodología para evaluar a la empresa era de menor costo en esta segunda licitación una enmienda establece un incremento de más de 45 millones de dólares en el primer contrato en el sector a y b además de un incremento de más de bs 17 millones en el tercer contrato del relleno sanitario  contempla la poda de pasto para la empresa con experiencia el costo estipulado en el contrato anulado era de más de bs 114 millones la secretaria de equipamiento social se encarga del mantenimiento de las áreas verdes   no estaba garantizado en este proceso de licitación pese a estar incluida en las especificaciones técnicas del requerimiento de servicio estaba como una posibilidad a modificarse en el tiempo del contrato la norma establece que los únicos puntos que se pueden modificar una vez aprobado el contrato es el plazo y costo del mismo “los funcionarios que han hecho estos procesos deben responderle al pueblo y a las leyes por la mentira y por el engaño que le estaban queriendo hacer a santa cruz” aseveró terrazas que espera que el tercer contrato no caiga en la vulneración de la norma en la parcialización de una empresa y que los profesionales actúen con pulcritud y profesionalidad porque  en la anterior licitación la metodología para evaluar a la empresa era de menor costo en esta segunda licitación una enmienda establece un incremento de más de 45 millones de dólares en el primer contrato en el sector a y b además de un incremento de más de bs 17 millones en el tercer contrato del relleno sanitario  contempla la poda de pasto para la empresa con experiencia el costo estipulado en el contrato anulado era de más de bs 114 millones la secretaria de equipamiento social se encarga del mantenimiento de las áreas verdes   no estaba garantizado en este proceso de licitación pese a estar incluida en las especificaciones técnicas del requerimiento de servicio estaba como una posibilidad a modificarse en el tiempo del contrato la norma establece que los únicos puntos que se pueden modificar una vez aprobado el contrato es el plazo y costo del mismo,https://eldeber.com.bo/santa-cruz/concejala-terrazas-la-anulacion-del-segundo-contrato-de-aseo-urbano-ha-sido-un-gol-a-la-corrupcion_272472,28/3/2022,eldeber.com.bo,fefbfb5c6e32af9a68e6bf05c13e69c7,100,3570,11,315,"('contrato', 14)","('licitación', 8)","('servicio', 6)"
4,covid19 en bolivia se aplicaron 1175615 dosis con esquema completo a niños de 5 a 11 años,los nuevos contagios de esta jornada son santa cruz 16 cochabamba 7 la paz 39 chuquisaca 2 tarija 1 potosí 10 oruro 0 beni 0 y pando 0  aplicaron 1175615 dosis con esquema completo a niños de 5 a 11 años aplicaron 13064425 dosis entre la primera segunda tercera unidosis  el reporte establece que se aplicó 720865 primeras dosis y 454750 segundas dosis a niños de 5 a 11 años el total de las vacunas gestionadas y adquiridas por el gobierno nacional alcanza a 23815500 dosis casos nuevos se realizaron 2500 pruebas de las que 75 dieron resultado positivo y 2425 fueron descartadas el acumulado nacional de pacientes recuperados hasta esta jornada asciende a 831184 el registro de pacientes recuperados por departamento es el siguiente 104 en santa cruz los nuevos contagios de esta jornada son santa cruz 16 cochabamba 7 la paz 39   no se registraron personas fallecidas a causa del coronavirus  aplicaron 1175615 dosis con esquema completo a niños de 5 a 11 años aplicaron 13064425 dosis entre la primera segunda tercera unidosis  el reporte establece que se aplicó 720865 primeras dosis y 454750 segundas dosis a niños de 5 a 11 años el total de las vacunas gestionadas y adquiridas por el gobierno nacional alcanza a 23815500 dosis casos nuevos se realizaron 2500 pruebas de las que 75 dieron resultado positivo y 2425 fueron descartadas el acumulado nacional de pacientes recuperados hasta esta jornada asciende a 831184 el registro de pacientes recuperados por departamento es el siguiente 104 en santa cruz los nuevos contagios de esta jornada son santa cruz 16 cochabamba 7 la paz 39   no se registraron personas fallecidas a causa del coronavirus   el reporte de vacunación contra el covid19 establece que hasta la fecha se   según datos divulgados este domingo por el ministerio de salud y deportes a través de un boletín de prensa el reporte de vacunación contra el covid19 establece que hasta la fecha se   según datos divulgados este domingo por el ministerio de salud y deportes a través de un boletín de prensa,https://eldeber.com.bo/coronavirus/covid-19-en-bolivia-se-aplicaron-1175615-dosis-con-esquema-completo-a-ninos-de-5-a-11-anos_272424,27/3/2022,eldeber.com.bo,15367c5179b9bb77e7401629b48e3748,89,2024,11,210,"('dosis', 10)","('nuevos', 5)","('jornada', 5)"
5,tras cancelar procesos de licitación del aseo urbano emacruz trabajará en un solo contrato por dos años con nuevos costos,la nueva titular de emacruz andrea hoyos dijo que en la página oficial del sicoes están los documentos se trabajará en un solo contrato para el recojo de residuos en toda la ciudad se deja fuera la poda de árboles y de pasto  andrea hoyos gerente de emacruz al cabo de tres días de la cancelación del segundo contrato explicó que la ciudad ya no se dividirá en dos sectores a y b para el servicio de recojo de la basura ahora será una licitación para todo el servicio urbano se realizará una reingeniería de costos debido a que el tiempo de duración del contrato es de 2 años  vea el video andrea hoyos gerente de emacruz al cabo de tres días de la cancelación del segundo contrato explicó que la ciudad ya no se dividirá en dos sectores a y b para el servicio de recojo de la basura ahora será una licitación para todo el servicio urbano se realizará una reingeniería de costos debido a que el tiempo de duración del contrato es de 2 años  vea el video  la funcionaria municipal durante su primera semana de gestión   por otro lado ya no será incluido el servicio de poda de árboles y de pasto pese a que figura en el actual contrato con vega solvi otro cambio importante anunciado por hoyos es que  en el segundo contrato se establecía un monto de bs 278 millones por un periodo de 8 años “se ha procedido a la cancelación total no es una anulación de los procesos de contratación ya se puede verificar la documentación en el sicoes sistema de contratación estatal”  precisó con papeles en mano se refiere a la cancelación de la licitación pública internacional del sector a y b y a la cancelación del proceso de disposición final de residuos  la funcionaria municipal durante su primera semana de gestión   por otro lado ya no será incluido el servicio de poda de árboles y de pasto pese a que figura en el actual contrato con vega solvi otro cambio importante anunciado por hoyos es que  en el segundo contrato se establecía un monto de bs 278 millones por un periodo de 8 años “se ha procedido a la cancelación total no es una anulación de los procesos de contratación ya se puede verificar la documentación en el sicoes sistema de contratación estatal”  precisó con papeles en mano se refiere a la cancelación de la licitación pública internacional del sector a y b y a la cancelación del proceso de disposición final de residuos ,https://eldeber.com.bo/santa-cruz/tras-cancelar-procesos-de-licitacion-del-aseo-urbano-emacruz-trabajara-en-un-solo-contrato-por-dos-a_272493,28/3/2022,eldeber.com.bo,f731cefbeafcb960dcbe8b4038e0d48d,121,2336,12,210,"('contrato', 9)","('cancelación', 8)","('servicio', 6)"
6,30 años de prisión para mujer que estranguló a su hija en la paz,fue el tribunal 8° de sentencia de la ciudad de la paz el que ordenó la sentencia de 30 años de cárcel sin derecho a indulto para la acusada pena que deberá cumplir en el penal paceño de miraflores   recibió la pena máxima por el delito de infanticidio este domingo   ordenó la sentencia de 30 años de cárcel sin derecho  menor tuvo una muerte violenta y no natural como aseguraba la madre el abuelo materno de la víctima que presentó la denuncia por el hecho   la niña se encontraba con su madre  la niña fue vista por una vecina y uno de sus tíos maternos determinó que la causa de muerte de la niña fue por anoxia cerebral  recibió la pena máxima por el delito de infanticidio este domingo   ordenó la sentencia de 30 años de cárcel sin derecho  menor tuvo una muerte violenta y no natural como aseguraba la madre el abuelo materno de la víctima que presentó la denuncia por el hecho   la niña se encontraba con su madre  la niña fue vista por una vecina y uno de sus tíos maternos determinó que la causa de muerte de la niña fue por anoxia cerebral  jenny clarivel aliaga flores de 24 años la víctima es su hija de cuatro años de edad que perdió la vida a causa de un estrangulamiento el pasado 10 de enero en el distrito de palcas en la paz fue el tribunal 8° de sentencia de la ciudad de la paz quien  a indulto para la acusada pena que deberá cumplir en el penal paceño de miraflores  “los elementos más importantes de prueba que expuso la fiscalía en juicio oral fueron el protocolo de autopsia que establece que la  acta de inspección técnica ocular que devela que la progenitora era la única persona que estaba con la niña antes de su muerte además del informe complementario de la autopsia de las muestras biológicas extraídas al cuerpo de la infante entre otros elementos que demostraron que la mujer le quitó la vida a su hija” indicó william alave laura fiscal departamental de la paz fue  el 11 de enero y los agentes de la policía llegaron a la zona el valle de la ánimas en el distrito de palca en la paz para levantar el cadáver de una menor de cuatro años con señales de violencia según la investigación de la policía el 10 de enero día que ocurrió el crimen quien declaró que la menor se encontraba delicada de salud con tos y que probablemente las causas de su muerte fueron “naturales” “a primeras horas de ese día   posteriormente la madre llegó a las 0900 horas junto a su cuñada para cocinar y tras almorzar ambas se durmieron con la niña después en horas de la tarde la cuñada salió de la habitación rumbo a una cancha momento que es aprovechado por la madre para quitarle la vida a su hija luego indicó a sus familiares que la niña murió producto de la tos que tenía señaló la fiscal del caso dubravka jordán la autopsia médico legal realizado por el instituto de investigaciones forenses idif   broncoaspiración infiltración hemorrágica en bifurcación de carótida derecho compatible con estrangulación jenny clarivel aliaga flores de 24 años la víctima es su hija de cuatro años de edad que perdió la vida a causa de un estrangulamiento el pasado 10 de enero en el distrito de palcas en la paz fue el tribunal 8° de sentencia de la ciudad de la paz quien  a indulto para la acusada pena que deberá cumplir en el penal paceño de miraflores  “los elementos más importantes de prueba que expuso la fiscalía en juicio oral fueron el protocolo de autopsia que establece que la  acta de inspección técnica ocular que devela que la progenitora era la única persona que estaba con la niña antes de su muerte además del informe complementario de la autopsia de las muestras biológicas extraídas al cuerpo de la infante entre otros elementos que demostraron que la mujer le quitó la vida a su hija” indicó william alave laura fiscal departamental de la paz fue  el 11 de enero y los agentes de la policía llegaron a la zona el valle de la ánimas en el distrito de palca en la paz para levantar el cadáver de una menor de cuatro años con señales de violencia según la investigación de la policía el 10 de enero día que ocurrió el crimen quien declaró que la menor se encontraba delicada de salud con tos y que probablemente las causas de su muerte fueron “naturales” “a primeras horas de ese día   posteriormente la madre llegó a las 0900 horas junto a su cuñada para cocinar y tras almorzar ambas se durmieron con la niña después en horas de la tarde la cuñada salió de la habitación rumbo a una cancha momento que es aprovechado por la madre para quitarle la vida a su hija luego indicó a sus familiares que la niña murió producto de la tos que tenía señaló la fiscal del caso dubravka jordán la autopsia médico legal realizado por el instituto de investigaciones forenses idif   broncoaspiración infiltración hemorrágica en bifurcación de carótida derecho compatible con estrangulación,https://eldeber.com.bo/pais/30-anos-de-prision-para-mujer-que-estrangulo-a-su-hija-en-la-paz_272429,27/3/2022,eldeber.com.bo,d36942061e9e40caf6129b5edf3f1727,64,4805,7,451,"('niña', 12)","('paz', 9)","('años', 9)"
7,gobernación da plazo de 24 horas al gobierno para que emita resolución que permita contratar personal para el hospital de montero,en caso de no tener respuestas el secretario de salud viajará a la paz y acudirá al despacho del presidente para exigir una explicación  resolución biministerial la gobernación da un plazo de 24 horas para que el gobierno brinde una respuesta voy a pedirle si puede darnos respuesta en las próximas 24 horas si no me veré obligado a ir a la ciudad de la paz  ítems a los trabajadores administrativos del nosocomio “son 60 administrativos que necesita el hospital para ponerlo en marcha en una primera fase   la resolución estaría lista en el transcurso de esa semana resolución biministerial la gobernación da un plazo de 24 horas para que el gobierno brinde una respuesta voy a pedirle si puede darnos respuesta en las próximas 24 horas si no me veré obligado a ir a la ciudad de la paz  ítems a los trabajadores administrativos del nosocomio “son 60 administrativos que necesita el hospital para ponerlo en marcha en una primera fase   la resolución estaría lista en el transcurso de esa semana   a exigir personalmente una respuesta al despacho del presidente  por qué la inoperancia de los ministerios de salud y economía” dijo pacheco  a exigir personalmente una respuesta al despacho del presidente  por qué la inoperancia de los ministerios de salud y economía” dijo pacheco,https://eldeber.com.bo/salud-y-bienestar/gobernacion-da-plazo-de-24-horas-al-gobierno-para-que-emita-resolucion-que-permita-contratar-persona_272502,28/3/2022,eldeber.com.bo,d7ebaf382748b1886e7ee66ce87bd610,129,1281,13,118,"('respuesta', 6)","('resolución', 4)","('24', 4)"
8,inédita reunión de israel y países árabes para abordar el acuerdo nuclear con irán,el secretario de estado estadounidense antony blinken afirmó que su país está comprometido y decidido a que irán nunca obtenga una bomba nuclear  el secretario de estado estadounidense antony blinken y los jefes de la diplomacia de israel después de condenar unánimemente el ataque terrorista de la noche anterior en la ciudad israelí de hadera es un nuevo rostro de medio oriente blinken afirmó que su país está comprometido y decidido a que irán nunca obtenga una bomba nuclear los países de la región comparten temores y exigen muchas respuestas  la cumbre se produce en un momento en que estados unidos y sus aliados europeos el secretario de estado estadounidense antony blinken y los jefes de la diplomacia de israel después de condenar unánimemente el ataque terrorista de la noche anterior en la ciudad israelí de hadera es un nuevo rostro de medio oriente blinken afirmó que su país está comprometido y decidido a que irán nunca obtenga una bomba nuclear los países de la región comparten temores y exigen muchas respuestas  la cumbre se produce en un momento en que estados unidos y sus aliados europeos ,https://eldeber.com.bo/rfi/inedita-reunion-de-israel-y-paises-arabes-para-abordar-el-acuerdo-nuclear-con-iran_272443,28/3/2022,eldeber.com.bo,879e2a4cc45c725545800329e6f078d1,82,1114,9,106,"('blinken', 5)","('secretario', 3)","('estado', 3)"
10,golpe de estado ii órdenes de aprehensión para exjefes miliares y suspensión del juicio hasta el 4 de abril, el juicio oral por el caso denominado “golpe de estado ii” contra jeanine áñez se suspendió hasta el siguiente 4 de abril el tribunal primero de sentencia anticorrupción de la paz también ordenó la presente jornada la aprehensión de exjefes miliares el tribunal primero de sentencia anticorrupción de la paz ordenó la aprehensión de los siguientes exjefes militares el excomandante de las fuerzas armadas williams kaliman el exinspector jorge fernández el excomandante de las fuerzas armadas en la gestión del gobierno interino sergio orellana y para el excomandante de la policía yuri calderón según informó anf los individuos mandados a aprehender fueron declarados en rebeldía en cuanto se inició el juicio oral del caso denominado “golpe de estado ii” “se expida mandamiento de aprehensión en contra de los declarados rebeldes tercero la designación de un defensor público a cada uno de los coacusados declarados rebeldes para que los representen con todos los poderes y recursos reconocidos para cuyo efecto ofíciese del servicio plurinacional de defensa pública a objeto que designe una abogada o abogado defensor público” reseñó parte de la resolución que se emitió en el mismo documento se aclara que “la declaratoria de rebeldía no interrumpe la prosecución de juicio por consiguiente para seguir con la sustanciación se señala audiencia de juicio oral para 4 de abril de 2022 a horas 0900 acto procesal que se desarrollará de manera virtual” los exjefes militares y el policía aludido en este proceso no se presentaron durante la etapa investigativa se los acusó de estar implicados en el presunto ascenso irregular de jeanine añez como presidente de bolivia entre el 10 y 12 de noviembre de 2019 el tribunal dispuso la publicación de datos y señas personales de los declarados en rebeldía por medio de la prensa escrita de circulación nacional “en caso concreto de la plataforma establecida por el tribunal supremo de justicia mediante el sistema ermes” señaló el documento en la apertura del juicio oral la exmandataria presentó una descomposición según su abogada norka cuéllar quien además denunció el riesgo de seguridad ante grupos de personas que se manifestaban afuera del penal de miraflores exigiendo la condena máxima para áñez la expresidente y los otros acusados afrontan el proceso penal por los supuestos delitos de resoluciones contrarias a la constitución y las leyes además de incumplimiento de deberes / lmpt,https://lapatria.bo/2022/03/28/golpe-de-estado-ii-ordenes-de-aprehension-para-exjefes-miliares-y-suspension-del-juicio-hasta-el-4-de-abril/,2022/03/28,lapatria.bo,e0974bf85905d47b914601317644150a,107,2438,11,221,"('juicio', 5)","('oral', 4)","('tribunal', 4)"
